,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ZINC,pdbqt,Lowest_E,Mean_E,Set,Mwt,LogP,Rotatable bonds,H-donors,H-acceptors,PSA,Net charge,Num chirals,chirals,SMILES,QED_mean
0,424847,424847,5265,ZINC000064746311,GJAARN.xaa_ligand_09702.pdbqt,-10.47,-10.47,1,382.508,4.57,4,1,5,71,0,0,[],O=C(NC1CCCCCCC1)c1nc(-c2ccc(N3CCCCC3)cc2)no1,0.8016365685153244
1,25411,25411,8291,ZINC000065627653,FJAARN.xaa_ligand_23555.pdbqt,-10.46,-10.46,1,363.461,4.523,4,1,4,53,0,1,"[(19, 'S')]",O=C(Nc1ccc(N2CCCCCC2)cc1)C1=NO[C@H](c2ccccc2)C1,0.8305943762234592
2,108396,108396,5644,ZINC000065023772,GJAARN.xaa_ligand_09834.pdbqt,-10.29,-10.29,1,392.547,4.507,4,1,4,58,0,0,[],Cc1cccc(-c2cnc(N3CCC(C(=O)NC4CCCCCC4)CC3)nc2)c1,0.7441328189375824
3,115188,115188,3871,ZINC000035398485,GJAARN.xaa_ligand_27656.pdbqt,-10.24,-10.24,1,392.547,4.507,4,1,4,58,0,0,[],Cc1ccc(-c2ccc(N3CCC(C(=O)NC4CCCCCC4)CC3)nn2)cc1,0.7441328189375825
4,129958,129958,1519,ZINC000004072064,FJAARN.xaa_ligand_14814.pdbqt,-10.24,-10.24,1,353.491,4.567,3,1,4,54,0,0,[],Cc1ccc(C(=O)Nc2nnc(C34CC5CC(CC(C5)C3)C4)s2)cc1,0.8407055574035385
5,217999,217999,3924,ZINC000013076371,FJAARN.xaa_ligand_46559.pdbqt,-10.08,-10.08,1,369.486,4.557,4,0,5,56,0,3,"[(12, '?'), (14, 'S'), (18, 'R')]",Cc1ccc(-c2nc(COC(=O)C3C[C@@H]4CCC[C@H](C3)C4=O)cs2)cc1,0.7090228994732046
6,281098,281098,7068,ZINC000016977043,HJAARN.xaa_ligand_56862.pdbqt,-9.88,-9.88,1,413.587,4.511,6,0,5,55,0,0,[],COc1ccc(CCNC2=NN=C(C34CC5CC(CC(C5)C3)C4)CS2)cc1OC,0.7128515575564975
7,104466,104466,1714,ZINC000064872781,GJAARN.xaa_ligand_09752.pdbqt,-9.88,-9.88,1,392.547,4.507,4,1,4,58,0,0,[],Cc1ccc(-c2cc(N3CCC(C(=O)NC4CCCCCC4)CC3)ncn2)cc1,0.7441328189375825
8,439120,439120,2412,ZINC000014077843,GJAAMN.xaa_ligand_2419.pdbqt,-9.79,-9.79,1,385.577,4.513,4,1,3,37,1,1,"[(14, 'S')]",CC1CCC(N(C)C(=O)CN2CCC[C@H](c3nc4ccccc4s3)C2)CC1,0.742744811346267
9,381226,381226,4458,ZINC000064872641,GJAARN.xaa_ligand_09730.pdbqt,-9.76,-9.76,1,392.547,4.507,4,1,4,58,0,0,[],Cc1cccc(-c2cc(N3CCC(C(=O)NC4CCCCCC4)CC3)ncn2)c1,0.7441328189375825
10,355293,355293,4216,ZINC000006821237,FJAARN.xaa_ligand_15293.pdbqt,-9.73,-9.73,1,371.55,4.578,3,1,4,45,0,0,[],Cc1cc(C)c2nc(N3CCC(C(=O)NC4CCCCC4)CC3)sc2c1,0.8210419579171653
11,289659,289659,7068,ZINC000010843484,FJAARN.xaa_ligand_26620.pdbqt,-9.71,-9.71,1,356.447,4.535,3,1,5,60,0,0,[],Cc1nc(/C=C/C(=O)Nc2ccc3c(c2)OC2(CCCCC2)O3)cs1,0.7846703121017371
12,239860,239860,85,ZINC000012803525,DJAARN.xaa_ligand_07863.pdbqt,-9.65,-9.65,1,314.816,4.566,2,0,3,38,0,4,"[(1, '?'), (3, 'S'), (5, 'R'), (8, '?')]",ClC12C[C@H]3C[C@@H](C1)CC(c1nnc(-c4ccccc4)o1)(C3)C2,0.7287989329480159
13,297467,297467,6319,ZINC000020542769,GJAARN.xaa_ligand_19496.pdbqt,-9.6,-9.6,1,380.488,4.542,6,0,4,55,0,0,[],CN(CC12CC3CC(CC(C3)C1)C2)C(=O)c1cc(COc2ccccc2)on1,0.7056956826004568
14,375815,375815,7612,ZINC000007345171,FJAARN.xaa_ligand_23459.pdbqt,-9.6,-9.6,1,367.518,4.577,5,1,4,54,0,0,[],O=C(CCc1ccccc1)Nc1nnc(C23CC4CC(CC(C4)C2)C3)s1,0.8044878504683032
15,387740,387740,2406,ZINC000070019918,FJCARN.xaa_ligand_0978.pdbqt,-9.55,-9.55,1,369.534,4.502,6,1,4,45,0,0,[],CSc1ncccc1C(=O)NCc1ccc(N(C)C2CCCCC2)cc1,0.7282960242787525
